City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
1,Georgetown,MY,77.0,moderate rain,5.41,100.34,Cititel Penang
12,Bathsheba,BB,77.0,few clouds,13.22,-59.52,Atlantis Hotel
15,Victoria,HK,87.01,light rain,22.29,114.16,Mini Hotel Central
16,Vila Velha,BR,75.99,clear sky,-20.33,-40.29,Hotel Vitória Palace
19,Montecristo,CO,75.15,broken clouds,8.3,-74.47,Hospedaje la reina
24,Hithadhoo,MV,82.56,broken clouds,-0.6,73.08,Scoop Guest House
27,Bengkulu,ID,83.84,scattered clouds,-3.8,102.27,Grage Hotel Bengkulu
30,San Miguel,SV,75.29,overcast clouds,13.48,-88.18,Excalibur
33,Muli,MV,82.53,broken clouds,2.92,73.57,Medhufushi Island Resort
41,Santa Rosa,PH,88.0,moderate rain,14.31,121.11,Erlyn’s Sta Rosa City Home
43,Laguna,US,80.6,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
46,Warri,NG,75.49,overcast clouds,5.52,5.75,BON Hotel Delta
48,Kismayo,SO,77.02,few clouds,-0.36,42.55,Agan-Hotel
49,Palasa,IN,86.04,broken clouds,18.77,84.42,Malla Krishana apartment
53,Sinnamary,GF,78.67,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
71,Hambantota,LK,82.4,scattered clouds,6.12,81.12,Bungalow 63
72,Baran,IN,87.21,scattered clouds,25.1,76.52,Hotel shri ji
77,Port-Gentil,GA,75.78,overcast clouds,-0.72,8.78,Fengshui Residence
78,Ibra,OM,81.91,clear sky,22.69,58.53,مزرعة راحة النفوس المنزفة
85,Manadhoo,MV,82.4,overcast clouds,5.77,73.38,Vevu Guesthouse
99,Itarema,BR,77.34,clear sky,-2.92,-39.92,Windvillage
103,Puerto Colombia,CO,78.8,few clouds,10.99,-74.95,Hotel El Emigrante
111,Elizabeth City,US,75.2,moderate rain,36.29,-76.25,Hampton Inn Elizabeth City
112,Iquitos,PE,76.19,light rain,-3.75,-73.25,Cortez Malaga Techy Caroly
116,Baghdad,IQ,77.0,clear sky,33.34,44.4,Baghdad Hotel
118,La Palma,US,84.2,clear sky,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
119,Kutum,SD,75.72,scattered clouds,14.2,24.67,Dibbo areaمنطقة دبو
121,Mecca,SA,85.53,few clouds,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
123,Bagotville,AU,75.2,scattered clouds,-28.98,153.42,Broadwater Sunrise Caravan Park
126,Sao Filipe,CV,79.65,clear sky,14.9,-24.5,Tortuga B&B
132,Monrovia,LR,76.23,light rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
138,Muscat,OM,78.8,clear sky,23.61,58.59,Mutrah Hotel
140,Ullal,IN,75.2,light rain,12.8,74.85,AK INTERNATIONAL LODGE
141,Gunjur,GM,77.0,scattered clouds,13.2,-16.73,Kuba Lodge
142,Bhanpuri,IN,84.31,overcast clouds,21.1,80.92,Bhandari Hotel
144,Salalah,OM,80.6,broken clouds,17.02,54.09,HAMDAN PLAZA HOTEL
145,Odweyne,SO,75.54,clear sky,9.41,45.06,Eng Hiirey House
146,Doha,QA,88.0,clear sky,25.29,51.53,Doha Marriott Hotel
147,Nileshwar,IN,75.2,broken clouds,12.25,75.1,Neeleshwar Hermitage
151,Mamallapuram,IN,84.2,haze,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram
156,Dingle,PH,81.68,overcast clouds,11.0,122.67,Camp Pasica
157,Madinat Sittah Uktubar,EG,77.0,few clouds,29.82,31.05,Happy Kennel Academy
160,Mahibadhoo,MV,82.45,broken clouds,3.78,72.97,Omadhoo Inn
162,Marawi,PH,84.99,overcast clouds,8.0,124.29,Derogongan Residence
163,Sao Gabriel Da Cachoeira,BR,76.68,light rain,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
170,Gidam,IN,83.61,broken clouds,18.98,81.4,Dhanshree Lodge And DormItory
176,Abu Dhabi,AE,82.4,clear sky,24.47,54.37,Beach Rotana
179,Orocue,CO,77.2,broken clouds,4.79,-71.34,Hotel Brisas de San Miguel
187,Bucak,TR,77.0,clear sky,37.46,30.59,Elvan Apart
205,Marsh Harbour,BS,83.68,overcast clouds,26.54,-77.06,Abaco Beach Resort
208,Planeta Rica,CO,75.09,overcast clouds,8.41,-75.59,HOTEL MEDIA LUNA
216,Sur,OM,84.18,clear sky,22.57,59.53,Sur Plaza Hotel
217,Medina,SA,87.8,clear sky,24.47,39.61,Anwar Al Madinah Mövenpick Hotel
222,Robertsport,LR,77.41,moderate rain,6.75,-11.37,Kwepunha Retreat
225,Nisia Floresta,BR,75.2,clear sky,-6.09,-35.21,Rancho Crepusculo
227,High Rock,BS,83.55,overcast clouds,26.62,-78.28,Ocean Pearl Bonefishing Resort
228,Uvira,CD,76.95,overcast clouds,-3.41,29.15,Auberge Eden City
230,Carauari,BR,76.73,broken clouds,-4.88,-66.9,Pousada Lobo
234,Bubaque,GW,79.92,light rain,11.28,-15.83,Casa Dora - Mango Lodge
236,Kudahuvadhoo,MV,82.54,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
238,Barh,IN,80.6,mist,25.48,85.72,Rasulla
244,Saint-Georges,GD,82.4,few clouds,12.06,-61.75,Siesta Hotel
250,Mindelo,CV,80.6,few clouds,16.89,-24.98,Hotel Gaudi
252,Cayenne,GF,77.0,clear sky,4.93,-52.33,Hôtel Le Dronmi
255,Santa,PH,87.82,clear sky,17.49,120.43,The Mansion
259,Kadirli,TR,80.01,broken clouds,37.37,36.1,Karatepe Park Otel
261,Chuhar Kana,PK,84.2,smoke,31.75,73.8,King House
268,Patrasaer,IN,86.05,overcast clouds,23.22,87.52,kali mandir
269,Sao Miguel Do Araguaia,BR,77.76,clear sky,-13.28,-50.16,Hotel Executivo Palace
273,Upata,VE,82.0,overcast clouds,8.01,-62.4,Posada Villa Nela
279,Aracati,BR,76.14,clear sky,-4.56,-37.77,Motel Pousada Milleniun - Aracati-CE
280,Asyut,EG,78.21,clear sky,27.18,31.18,Florence Hotel Assiut
282,Altamira,BR,79.34,clear sky,-3.2,-52.21,Requinte Hotel
284,Meulaboh,ID,78.1,overcast clouds,4.14,96.13,Kost Pria
286,Bombay,IN,80.6,mist,19.01,72.85,Four Seasons Hotel Mumbai
291,Tabuk,PH,86.49,clear sky,17.42,121.44,Grand Zion Garden Resort Hotel
292,Conceicao Do Araguaia,BR,80.65,overcast clouds,-8.26,-49.26,Tarumã Tropical Hotel
299,Guarapari,BR,75.99,clear sky,-20.67,-40.5,Hotel Porto do Sol
300,Manaure,CO,84.58,clear sky,11.78,-72.44,Del mar vendra
301,Porto Novo,BJ,78.8,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
316,Terra Santa,BR,79.74,clear sky,-2.1,-56.49,Igreja da paz
320,Elat,IL,79.36,broken clouds,29.56,34.95,Club Hotel Eilat
321,Alexandria,EG,79.32,clear sky,31.22,29.96,Royal Crown Hotel
323,Bayonet Point,US,78.01,broken clouds,28.33,-82.68,Holiday Inn Express & Suites Port Richey
325,Giddalur,IN,79.25,overcast clouds,15.35,78.92,Shivaji Lodge
326,Korla,CN,76.5,scattered clouds,41.76,86.15,Gulisitan Hotel
327,Cockburn Town,TC,83.16,clear sky,21.46,-71.14,Osprey Beach Hotel
331,Aksu,CN,75.29,scattered clouds,41.12,80.26,Pudong Holiday Hotel
333,Matara,LK,80.69,overcast clouds,5.95,80.54,Amaloh Boutique Resort
337,Bodden Town,KY,82.99,clear sky,19.28,-81.25,Will T Place
338,Nova Olimpia,BR,77.0,few clouds,-14.8,-57.29,Motel glamour
340,Balsas,BR,80.46,scattered clouds,-7.53,-46.04,Novo Hotel
342,San Andres,CO,84.4,scattered clouds,12.58,-81.7,Hotel Arena Blanca
344,Kavaratti,IN,82.42,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
345,Trincomalee,LK,83.97,overcast clouds,8.57,81.23,Welcombe Hotel
346,Gurupa,BR,78.57,scattered clouds,-1.41,-51.64,Residencial DWD
349,Abu Zabad,SD,78.51,broken clouds,12.35,29.25,محي الدين نوري
352,Itupiranga,BR,81.54,few clouds,-5.13,-49.33,JAIRO ORLINDO VIEIRA
354,Rodrigues Alves,BR,77.0,scattered clouds,-7.74,-72.65,Pousada Aconchego
357,Pontes E Lacerda,BR,77.5,few clouds,-15.23,-59.34,Hotel Bressan
358,Safaga,EG,84.65,clear sky,26.73,33.94,Lamar Resort Abu Soma
363,Puerto Maldonado,PE,80.8,broken clouds,-12.6,-69.18,Wasai Hotel
368,Bandarbeyla,SO,77.23,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
369,Yarada,IN,84.2,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
372,Ratnagiri,IN,80.85,moderate rain,16.98,73.3,Hotel Landmark
375,Katra,IN,80.6,few clouds,32.98,74.95,KC Residency Vaishnodevi
380,Castanhal,BR,78.8,few clouds,-1.29,-47.93,ESTAÇÃO HOTEL
383,Kamareddi,IN,78.53,light rain,18.32,78.35,Osman Residency
385,Barahona,DO,79.59,few clouds,18.21,-71.1,Hotel Caribe
387,Ceres,US,84.2,clear sky,37.59,-120.96,Howard Johnson by Wyndham Modesto Ceres
400,Barka Kana,IN,75.2,thunderstorm with light rain,23.62,85.48,Hotel Shivam INN | Best Hotel in Ramgarh Jharkhand
402,Birmitrapur,IN,83.89,light rain,22.4,84.77,Subham Hotel
404,Carutapera,BR,77.72,clear sky,-1.2,-46.02,Lidera
405,Tarabha,IN,85.59,broken clouds,20.73,83.65,Jeeban jyoti medical
406,Damaturu,NG,75.9,clear sky,11.75,11.96,Summit Conference Centre
407,Arlit,NE,87.12,overcast clouds,18.74,7.39,Hôtel Telwa Bungalow
408,Haridwar,IN,77.0,mist,29.97,78.17,Centre Point Heritage Ganga
411,Aswan,EG,86.34,clear sky,24.09,32.91,Nuba Nile
414,Mitsamiouli,KM,75.45,clear sky,-11.38,43.28,Foyer ADM
416,Havelock,US,79.0,broken clouds,34.88,-76.9,Sherwood Motel
422,Mahuva,IN,80.53,overcast clouds,21.09,71.76,Hotel Blue Diamond.
428,Guhagar,IN,79.86,overcast clouds,17.48,73.19,Hotel Seawinds
430,Vila Do Maio,CV,80.87,clear sky,15.13,-23.22,Residence 'I Delfini'
432,Kodala,IN,87.04,overcast clouds,19.63,84.95,DIGI. GUPTESWAR TEMPLE
434,Pombas,CV,80.6,few clouds,17.15,-25.02,POUSADA O RECANTO
436,Santa Marta,CO,79.75,overcast clouds,11.24,-74.2,Hotel La Ballena Azul
437,Douentza,ML,79.32,overcast clouds,15.0,-2.95,Ogomono Doumbo
446,Salinopolis,BR,80.2,clear sky,-0.61,-47.36,Hotel Salinópolis
447,Port Blair,IN,79.57,overcast clouds,11.67,92.75,Fortune Resort Bay Island
456,Riyadh,SA,78.8,few clouds,24.69,46.72,InterContinental Riyadh
459,Luxor,EG,83.37,clear sky,25.7,32.64,Iberotel Luxor
464,Pauini,BR,79.56,scattered clouds,-7.71,-66.98,Casa do Kiwliks
466,Gat,IL,78.01,clear sky,31.61,34.76,OlusHome
470,Nasriganj,IN,87.44,scattered clouds,25.05,84.33,Birendra Utsav Niketan
471,Nouadhibou,MR,78.62,scattered clouds,20.93,-17.03,El Medina
472,San Pedro De Macoris,DO,82.0,few clouds,18.46,-69.3,Apartahotel Guaraguao
478,Mapiripan,CO,75.33,overcast clouds,2.89,-72.13,Monserrate
479,Panama City,PA,78.8,overcast clouds,8.99,-79.52,Trump International Hotel & Tower Panama
481,Cururupu,BR,75.24,clear sky,-1.83,-44.87,Pousada Través'cia
486,Moratuwa,LK,80.6,few clouds,6.77,79.88,Sa Mansion By Yoho
494,Kottapalli,IN,82.53,heavy intensity rain,18.48,79.1,University Guest House
495,Tarauaca,BR,83.1,overcast clouds,-8.16,-70.77,Flat Temporada
497,Pucallpa,PE,78.3,clear sky,-8.38,-74.55,Hotel Sol de Oriente - Pucallpa
499,Tonantins,BR,76.17,overcast clouds,-2.87,-67.8,Hotel Rei Davi
503,Lagunas,PE,77.23,few clouds,-5.23,-75.68,Hospedaje Eco
504,Rapar,IN,83.28,broken clouds,23.57,70.63,Dharamshi Bapa’s Home
511,Jacareacanga,BR,78.67,broken clouds,-6.22,-57.75,Casa do Ian😎
515,Hobyo,SO,76.41,clear sky,5.35,48.53,Osmani Hotel
516,Totness,SR,77.99,clear sky,5.88,-56.32,STAATS LOGEERGEBOUW TOTNESS
519,Hatillo,PR,81.0,scattered clouds,18.49,-66.83,Hotel Parador El Buen Cafe
524,Vilhena,BR,77.0,broken clouds,-12.74,-60.15,Hotel Mirage
527,Matay,EG,75.16,clear sky,28.42,30.78,Nag Aespen
538,Khuzdar,PK,75.72,clear sky,27.74,66.64,jhalwan Rent A Car Moola Chotok Boking Office
540,Cabral,DO,78.58,clear sky,18.25,-71.22,Hotel Nueva York
544,Boa Vista,BR,80.6,thunderstorm,2.82,-60.67,Aipana Plaza Hotel
546,Aneho,TG,75.2,scattered clouds,6.23,1.6,Hotel La Linette
556,Faridabad,IN,87.01,haze,28.43,77.32,Park Plaza Faridabad
561,Iberia,US,78.8,clear sky,29.95,-91.75,back to back rv park
563,Oistins,BB,77.0,few clouds,13.07,-59.53,Butterfly Beach Hotel
564,Anloga,GH,75.2,scattered clouds,5.79,0.9,Dey Lodge
570,Obra,IN,86.95,few clouds,24.42,82.98,Hotel Vishal
577,Banda Aceh,ID,84.45,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
578,Dalbandin,PK,75.7,clear sky,28.89,64.41,Police station anti NARCOTICS FORCE
581,Contamana,PE,81.07,overcast clouds,-7.33,-75.02,Shiringal Touristic Park
587,Humaita,BR,81.09,scattered clouds,-7.51,-63.02,Corrêa Hotel
591,Lucea,JM,80.6,few clouds,18.45,-78.17,Grand Palladium Jamaica Resort & Spa
595,Sakakah,SA,84.2,clear sky,29.97,40.21,Fakhamat Al Orjoana Apartment
607,Khandbari,NP,75.94,overcast clouds,27.37,87.2,नेवारी फाष्टफुड एण्ड लज
624,Maur,IN,89.91,clear sky,30.08,75.25,sanju tee sotall
625,Dingli,MT,75.99,clear sky,35.86,14.38,The Xara Palace Relais & Chateaux
631,Lubao,PH,86.0,broken clouds,14.92,120.55,Hacienda Gracia
632,Kumluca,TR,82.65,clear sky,36.37,30.29,TurkuazKöy
634,The Valley,AI,82.0,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
636,Kralendijk,BQ,82.4,clear sky,12.15,-68.27,Divi Flamingo Beach Resort & Casino
640,Tufanganj,IN,78.26,overcast clouds,26.32,89.67,Hotel Riju
642,Placido De Castro,BR,82.22,broken clouds,-10.34,-67.19,Hotel Califórnia
650,Algiers,DZ,75.2,scattered clouds,36.75,3.04,Sofitel Algiers Hamma Garden
651,Guane,CU,79.84,scattered clouds,22.2,-84.09,base de Campismo LosPortales de Guane
653,Dakar,SN,82.4,scattered clouds,14.69,-17.44,Novotel Dakar
663,Kuliyapitiya,LK,80.6,few clouds,7.47,80.04,Rest House
664,Tahta,EG,78.67,clear sky,26.77,31.5,Møhãmęd Tãręk 🏠
666,Ugu,IN,84.2,mist,26.78,80.33,Mishra's Home
667,Baglung,NP,75.88,broken clouds,28.27,83.59,"Hotel Peace Palace, Baglung, Nepal"
669,Potamia,GR,79.0,light rain,40.72,24.73,Blue Sea Beach Hotel
670,South Venice,US,84.0,clear sky,27.05,-82.42,Rodeway Inn
676,Bageshwar,IN,77.07,scattered clouds,29.85,79.77,Hotel pindar innn
678,Shahpur Chakar,PK,82.4,haze,26.16,68.65,Dahri Guest House
681,Abonnema,NG,75.2,thunderstorm,4.71,6.79,Corper's Lodge Obonoma
